Device,SDC_HIGH,DUE_HIGH,SDC_Thermal,DUE_Thermal,SDC_TOTAL,DUE_TOTAL,SDC_H_PER,SDC_T_PER,DUE_H_PER,DUE_T_PER,SDC_R,DUE_R
XeonPhi,35.0867507886436,18.5567823343849,3.46006220107866,2.91324921135647,38.5468129897223,21.4700315457414,91.0237398822019,8.97626011779811,86.4310902145166,13.5689097854834,10.140497121036,6.36978884677857
K20,44.2314335060449,43.5233160621762,24.1667711293108,15.5094991364421,68.3982046353557,59.0328151986183,64.6675358539766,35.3324641460234,73.7273259215916,26.2726740784084,1.83025830258303,2.80623608017818
TitanX,40.3454231433506,8.61658031088082,11.4652975096106,1.13730569948186,51.8107206529612,9.75388601036268,77.87080093634,22.12919906366,88.3399734395751,11.6600265604249,3.51891637434892,7.57630979498864
APU-GPU,69.5400930104919,16.8442098763617,22.9814077025232,12.0680378118522,92.5215007130151,28.9122476882139,75.1610084948715,24.8389915051285,58.2597730138714,41.7402269861286,3.02592834654149,1.39577039274925
APU-CPU,150.674252559259,13.346544939553,46.4741035856572,6.44114807681941,197.148356144916,19.7876930163724,76.426836878368,23.573163121632,67.4487163739099,32.5512836260901,3.24211207821467,2.07207547169812
CPU+GPU,75.3249731700506,16.2851668357321,33.4873837981408,13.8423918103723,108.812356968191,30.1275586461044,69.2246499100006,30.7753500899994,54.054054054054,45.945945945946,2.24935377526364,1.17647058823529
FPGA,5.5719557195572,NA,2.39012096774193,NA,7.96207668729913,NA,69.9811862958494,30.0188137041506,NA,NA,2.3312442318856,NA
