Device;SDC_HIGH;DUE_HIGH;SDC_Thermal;DUE_Thermal
XeonPhi;35.0867507886436;18.5567823343849;3.46006220107866;2.91324921135647
K20;44.2314335060449;43.5233160621762;24.1667711293108;15.5094991364421
TitanV;82.9015544041451;7.25388601036269;29.7248453952866;2.70466321243523
TitanX;40.3454231433506;8.61658031088082;11.4652975096106;1.13730569948186
APU-GPU;69.5400930104919;16.8442098763617;22.9814077025232;12.0680378118522
APU-CPU;150.674252559259;13.346544939553;46.4741035856572;6.44114807681941
CPU+GPU;75.3249731700506;16.2851668357321;33.4873837981408;13.8423918103723
FPGA;5.5719557195572;NA;2.39012096774193;NA
