"","Device","Code","Input","cross_section_SDC_high","number_SDCs_high","cross_section_DUE_high","number_DUE_high","cross_section_SDC_thermals","number_SDCs_thermals","cross_section_DUE_thermals","number_DUE_thermals","FIT_SDC_high","FIT_DUE_high","FIT_SDC_thermals","FIT_DUE_thermals","FIT_SDC_thermals_storm","FIT_DUE_thermals_storm","cross_section_SDC_high_err","cross_section_DUE_high_err","cross_section_SDC_thermals_err","cross_section_DUE_thermals_err","FIT_SDC_high_err","FIT_DUE_high_err","FIT_DUE_thermals_err","FIT_SDC_thermals_err","FIT_SDC_thermals_storm_err","FIT_DUE_thermals_storm_err"
"11","TitanX","HotSpot",1024,28.7046632124352,67,4.28497409326425,11,7.36043790740431,27,1,2,373.160621761658,55.7046632124352,29.4417516296173,4,58.8835032592345,8,1.28290618191487,1.22330240358124,1.02335429339889,1.38592929112563,4.6255840205038,4.41067954151049,2.77185858225127,2.04670858679778,2.89448304167489,3.92
"12","GPUembedded","CED",0,6.04235960167821,20,13.0625284335035,41,1,12,4.56310974068645,30,78.5506748218167,169.812869635546,4,18.2524389627458,8,36.5048779254916,1.07731909492515,1.10631236745949,0.565803263805833,0.764409191899667,3.8843292367891,3.98886596755517,1.52881838379933,1.13160652761167,1.60033329861834,2.16207569277433
"13","GPUembedded","SC",0,133.884648435525,112,3.58530051053935,3,44.1095890410959,52,4.66339786685538,3,1740.50042966183,46.6089066370116,176.438356164384,18.6535914674215,352.876712328767,37.307182934843,2.142952038973,2.14268448768424,1.80518162979345,2.44369319168833,7.72652345737724,7.7255587874868,4.88738638337665,3.6103632595869,5.10582468680132,6.91180810792885
"14","GPUembedded","BFS",0,3.53515644745489,10,18.1020067734924,46,2.3013698630137,15,15.6700197138958,56,45.9570338169135,235.326088055401,9.20547945205479,62.6800788555831,18.4109589041096,125.360157711166,1.16536075995988,1.22953392743691,0.767721410658555,1.03680439446081,4.20176797444903,4.43314762029641,2.07360878892162,1.53544282131711,2.17144406215507,2.93252567234901
"15","CPU","CED",0,7.00797872340426,28,6.50265957446809,26,1.22788156314345,28,2.40691489361702,30,91.1037234042553,84.5345744680851,4.91152625257378,9.62765957446809,9.82305250514756,19.2553191489362,0.980558351578867,0.980200470494068,0.410445307517677,0.555169771490942,3.53545341520205,3.53416305660029,1.11033954298188,0.820890615035355,1.16091464100779,1.57025724052412
"16","CPU","SC",0,155.585106382979,110,7.10106382978723,5,47.7348039636239,105,2.5,3,2022.60638297872,92.313829787234,190.939215854496,10,381.878431708991,20,2.33100786762225,2.33578452809803,1.32153598551677,1.78922702118354,8.404568390222,8.4217908844929,3.57845404236709,2.64307197103354,3.73786822776383,5.06069823904436
"17","CPU","BFS",0,2.27393617021277,66,1,29,1.88904855868222,42,2.14095744680851,26,29.561170212766,13,7.5561942347289,8.56382978723404,15.1123884694578,17.1276595744681,0.363808832407513,0.363962862827022,0.415674120957913,0.562436393930617,1.31173139971197,1.31228676428749,1.12487278786123,0.831348241915827,1.17570395877239,1.59081035253779
"18","CPU+GPU","CED",0,16.4431572602579,45,16.4431572602579,45,2.64940239043825,12,8.45856426691757,21,213.761044383352,213.761044383352,10.597609561753,33.8342570676703,21.195219123506,67.6685141353405,1.18479283637836,1.18479283637836,0.920957120930338,1.2439265880917,4.27183132236459,4.27183132236459,2.4878531761834,1.84191424186068,2.60486010156753,3.51835570295154
"19","CPU+GPU","SC",0,196.515781890887,29,11.3023919083812,9,96.8127490039841,138,14.1462195498449,11,2554.70516458153,146.931094808956,387.250996015936,56.5848781993796,774.501992031872,113.169756398759,5.10218015508053,2.19644330567087,1.64165844161929,2.222695272589,18.3961721657977,7.91938896224594,4.44539054517799,3.28331688323859,4.64331126584457,6.28673159903584
"20","CPU+GPU","BFS",0,13.0159803590068,8,21.1099513385572,13,1,3,18.9223916143544,31,169.207744667088,274.429367401244,4,75.6895664574176,8,151.379132914835,2.50005475307943,2.49762947708116,1.13160652761167,1.5313104194869,9.01407560369535,9.00533114672644,3.06262083897381,2.26321305522333,3.20066659723669,4.33119992688322
"21","FPGA","MNIST Double",0,7.80442804428044,258,NA,NA,3.78024193548387,39,NA,NA,101.457564575646,NA,15.1209677419355,NA,30.241935483871,NA,0.340891960282013,NA,0.61021596469873,NA,1.22910344219023,NA,NA,1.22043192939746,1.72595138650705,NA
"22","FPGA","MNIST Single",0,3.33948339483395,198,NA,NA,1,41,NA,NA,43.4132841328413,NA,4,NA,8,NA,0.254544149983611,NA,0.306100573301668,NA,0.917771984635307,NA,NA,0.612201146603336,0.865783164426797,NA
